16/04/22,80.00,grocery,
18/04/22,540.00,alfaham mandhi - mandhi souk,
18/04/22,20.00,water,
19/04/22,8.00,bus fare,
19/04/22,70.00,1 kg banana for habel,
20/04/22,18.00,photocopy,
20/04/22,120.00,hair cut,
21/04/22,2.00,bus fare,
23/04/22,60.00,chips,
24/04/22,"3,275.00",SAY exam registration,
24/04/22,210.00,Food - shawarmashi,
27/04/22,100.00,2 blank books ,
27/04/22,30.00,3 cello gripper pens,
28/04/22,340.00,food - mandhi souk,
29/04/22,500.00,aster appointment fee,
29/04/22,40.00,aster parking,
02/05/22,170.00,food- khedaram,
03/05/22,"1,299.00",app - diagrams notepad,
03/05/22,"1,299.00",app - diagrams 2,
06/05/22,40.00,4 cello gripper pens,
08/05/22,"3,100.00",ipad accessories - ihub,
08/05/22,167.75,food - dominos,
09/05/22,549.00,mouse,
10/05/22,2.00,Bus fare,
10/05/22,10.00,Bus fare,
11/05/22,599.00,App - moblo (ipad),
13/05/22,359.00,sim recharge - VI,
13/05/22,245.00,food - wild ginger,
17/05/22,50.00,5 unimax pens,
19/05/22,260.00,food - kedaram,
20/05/22,300.00,new Jio sim,
20/05/22,90.00,food - shawarma shi,
21/05/22,175.00,slippers,
22/05/22,90.00,food - shawarmashi ,
24/05/22,130.00,food - hospital cafeteria,
24/05/22,50.00,5 unomax pens,
24/05/22,30.00,3 cello gripper pens,
25/05/22,205.00,food - mandhi souk,
26/05/22,287.00,groceries - reliance,
26/05/22,380.00,jersey money,
27/05/22,50.00,food - cold coffee,
28/05/22,190.00,food - mandhi souk,
29/05/22,10.00,bus fare,
30/05/22,297.00,groceries,
01/06/22,130.00,food - cafeteria,
02/06/22,190.00,food - mandhi souk,
03/06/22,150.00,food - kedaram,
03/06/22,30.00,3 cello gripper pens,
07/06/22,300.00,haircut,
07/06/22,40.00,2 labanup,
10/06/22,320.00,2 shawarma,
12/06/22,220.00,food - kfc twister,
12/06/22,60.00,2 water,
12/06/22,100.00,boat ride,
13/06/22,23.00,food - pizza hut,
13/06/22,50.00,diesel - afra's scooter,
14/06/22,"1,300.00",taxi fare,
14/06/22,100.00,auto fare,
14/06/22,299.00,recharge - VI sim,
19/06/22,238.00,food - chiang,
19/06/22,30.00,food - peni ice cream,
19/06/22,189.00,food - aaryas,
19/06/22,3.30,kochi pay and park,
19/06/22,10.00,bus fare,
20/06/22,125.00,diesel - sonu,
20/06/22,57.50,paniyeli entry + car parking,
21/06/22,190.00,food - mandhi souk,
21/06/22,165.00,groceries,
22/06/22,6.00,milk peda ,
22/06/22,99.00,decathlon - water bottle ,
22/06/22,30.00,drinks,
22/06/22,140.00,food - al faham,
23/06/22,58.30,athirapally falls entry ,
23/06/22,10.00,juice ,
23/06/22,243.30,food,
23/06/22,332.50,diesel  - sonu ,
25/06/22,"2,220.00",reevaluation fees,
25/06/22,2.00,photocopy,
25/06/22,10.00,bus fare,
27/06/22,296.30,diesel - sonu ,
27/06/22,10.00,chips,
27/06/22,10.00,tea,
27/06/22,10.00,coffee,
27/06/22,2.00,lolipop ,
27/06/22,80.00,food,
28/06/22,185.00,food - al baan,
30/06/22,56.00,food,
30/06/22,196.00,diesel - sonu,
30/06/22,206.00,food - al baan,
30/06/22,10.00,coffee,
01/07/22,19.00,VI recharge,
02/07/22,10.00,bus fare,
03/07/22,247.00,food - qureshi,
04/07/22,"2,000.00",transferred to bindu,
06/07/22,10.00,bus fare,
07/07/22,19.00,VI recharge,
09/07/22,130.00,food - hospital cafeteria,
09/07/22,150.00,union arts,
10/07/22,10.00,bus fare,
12/07/22,10.00,bus fare,
12/07/22,19.00,VI recharge,
12/07/22,230.00,groceries,
12/07/22,299.00,VI recharge,
14/07/22,239.00,jio recharge,
15/07/22,25.00,spotify,
15/07/22,150.00,food - crunchyz spot + Alen's gift,
15/07/22,104.00,food - mandhi souk,
16/07/22,20.00,chocolates,
24/07/22,129.00,Spotify premium,
26/07/22,45.00,groceries,
30/07/22,10.00,bus fare,
30/07/22,95.00,food - crunchyz spot,
30/07/22,141.71,food - kurtoosh,
30/07/22,94.00,food - awany bakery,
04/08/22,189.00,willingdon island,
05/08/22,10.00,bus fare,
05/08/22,299.00,VI recharge,
06/08/22,92.00,photocopy,
06/08/22,90.00,food - cafeteria ,
06/08/22,5.00,ice cream,
06/08/22,35.00,chips,
07/08/22,23.00,bus fare,
07/08/22,15.00,bus fare,
07/08/22,30.00,metro fare,
07/08/22,20.00,metro fare,
07/08/22,100.75,food - taco bell,
07/08/22,97.00,food - burger king,
07/08/22,28.00,bus fare,
07/08/22,30.00,food - ice cream,
07/08/22,100.00,bet with habel ,
08/08/22,80.00,chips,
08/08/22,120.00,haircut ,
09/08/22,60.00,courier service dtdc,
09/08/22,10.00,food - ice cream,
10/08/22,10.00,bus fare,
11/08/22,10.00,bus fare,
18/08/22,10.00,bus fare ,
18/08/22,10.00,food - ice cream,
20/08/22,140.00,food - club arabia,
23/08/22,55.00,grocery,
23/08/22,15.00,Jio recharge,
23/08/22,110.00,food - club arabia,
24/08/22,5.00,food - ice cream,
24/08/22,90.00,food - cafeteria,
26/08/22,129.00,Spotify premium,
27/08/22,10.00,coffee,
27/08/22,192.00,food - al reem,
29/08/22,30.00,food,
30/08/22,90.00,onam fund,
